Name,Gender,Department,Marks,Attendance
Muskan,Female,CE,64,68
Akanksha,Female,IT,64,80
Vivek,Male,IT,55,56
Kirti,Female,AI,61,74
Aditya,Male,ECE,66,87
Mayank,Male,IT,49,75
Simran,Female,ECE,82,83
Aaliyah,Female,IT,71,92
Preeti,Female,IT,89,84
Deepika,Female,AI,53,83
Sneha,Female,CE,80,90
Shubham,Male,CSE,73,79
Neha,Female,AI,79,95
Gaurav,Male,IT,70,83
Gaurav,Male,AI,93,83
Preeti,Female,IT,74,90
Swati,Female,AI,74,98
Komal,Female,CSE,71,81
Rahul,Male,CSE,81,85
Khushi,Female,AI,83,91
Akanksha,Female,IT,72,77
Komal,Female,IT,78,90
Tanvi,Female,ECE,71,80
Neha,Female,CSE,58,76
Priya,Female,ME,74,67
Rohit,Male,CSE,70,77
Aditya,Male,ECE,86,90
Riya,Female,IT,62,83
Dhruv,Male,CE,58,78
Nikhil,Male,CSE,58,75
Sachin,Male,CSE,58,77
Kavita,Female,CE,80,84
Bhavna,Female,IT,74,78
Manish,Male,IT,78,69
Manish,Male,IT,65,75
Ananya,Female,CSE,62,74
Nikhil,Male,AI,79,82
Priya,Female,IT,69,73
Divya,Female,CSE,80,93
Tarun,Male,IT,57,81
Vivek,Male,ECE,78,88
Sachin,Male,ME,75,99
Nisha,Female,AI,63,80
Simran,Female,ECE,76,85
Aditya,Male,IT,54,69
Dhruv,Male,IT,80,88
Manish,Male,ECE,71,85
Tanvi,Female,IT,85,87
Preeti,Female,CSE,82,94
Aditi,Female,AI,62,83
